Neuron,SomaPosition,SomaRegion,Neurotransmitter1,Neurotransmitter2,Index
I1L,0.05,H,Acetylcholine,,1
I1R,0.05,H,Acetylcholine,,2
I2L,0.05,H,Glutamate,,3
I2R,0.05,H,Glutamate,,4
I3,0.05,H,Acetylcholine,,5
M3L,0.05,H,Glutamate,,6
M3R,0.05,H,Glutamate,,7
M4,0.05,H,Acetylcholine,,8
MCL,0.05,H,Acetylcholine,,9
MCR,0.05,H,Acetylcholine,,10
MI,0.05,H,Glutamate,,11
NSML,0.05,H,Serotonin,,12
NSMR,0.05,H,Serotonin,,13
I4,0.06,H,Unknown,,14
I5,0.06,H,Glutamate,Serotonin,15
I6,0.06,H,Unknown,,16
M1,0.06,H,Acetylcholine,,17
M2L,0.06,H,Acetylcholine,,18
M2R,0.06,H,Acetylcholine,,19
M5,0.06,H,Acetylcholine,,20
IL2DL,0.07,H,Acetylcholine,,21
IL1DL,0.08,H,Glutamate,,22
IL1L,0.08,H,Glutamate,,23
IL1VL,0.08,H,Glutamate,,24
IL2DR,0.08,H,Acetylcholine,,25
IL2L,0.08,H,Acetylcholine,,26
IL2VL,0.08,H,Acetylcholine,,27
OLLL,0.08,H,Glutamate,,28
URADL,0.08,H,Acetylcholine,,29
URYDL,0.08,H,Glutamate,,30
IL1DR,0.09,H,Glutamate,,31
IL1R,0.09,H,Glutamate,,32
IL2R,0.09,H,Acetylcholine,,33
IL2VR,0.09,H,Acetylcholine,,34
OLLR,0.09,H,Glutamate,,35
OLQDL,0.09,H,Glutamate,,36
RIPL,0.09,H,Unknown,,37
URADR,0.09,H,Acetylcholine,,38
URBL,0.09,H,Acetylcholine,,39
URYDR,0.09,H,Glutamate,,40
URYVL,0.09,H,Glutamate,,41
BAGL,0.1,H,Glutamate,,42
OLQDR,0.1,H,Glutamate,,43
OLQVL,0.1,H,Glutamate,,44
RIPR,0.1,H,Unknown,,45
RMED,0.1,H,GABA,,46
RMEL,0.1,H,GABA,,47
URAVL,0.1,H,Acetylcholine,,48
URBR,0.1,H,Acetylcholine,,49
URYVR,0.1,H,Glutamate,,50
BAGR,0.11,H,Glutamate,,51
CEPVL,0.11,H,Dopamine,,52
IL1VR,0.11,H,Glutamate,,53
OLQVR,0.11,H,Glutamate,,54
RID,0.11,H,Unknown,,55
RMER,0.11,H,GABA,,56
URAVR,0.11,H,Acetylcholine,,57
ALA,0.12,H,Unknown,,58
CEPDL,0.12,H,Dopamine,,59
CEPVR,0.12,H,Dopamine,,60
RMDVL,0.12,H,Acetylcholine,,61
RMDVR,0.12,H,Acetylcholine,,62
RMEV,0.12,H,GABA,,63
SAAVL,0.12,H,Acetylcholine,,64
SMDVL,0.12,H,Acetylcholine,,65
URXL,0.12,H,Acetylcholine,Serotonin,66
ADFL,0.13,H,Acetylcholine,Serotonin,67
ADLL,0.13,H,Glutamate,,68
AFDL,0.13,H,Glutamate,,69
ASKL,0.13,H,Glutamate,,70
ASKR,0.13,H,Glutamate,,71
